zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
H,H,1.0,0.015774822146613052,0.020414475719146303,0.059696875966594495,0.1023816888339004,0.039591710485617077,0.9925765542839468,0.04361274358181256,0.19857717290442314,0.14630374265388185,0.2527064645839777,0.31642437364676773,0.1620785648004949,0.16517166718218373,0.0652644602536344,0.08846272811630065,0.28394679863903494,0.0024744819053510673,0.04484998453448809,0.055985153108567894,0.012372409526755336,0.12588926693473554,0.2047633776678008,0.010825858335910918,0.019795855242808538,0.11104237550262913,0.06495515001546551,0.0012372409526755336,0.003093102381688834,0.1227961645530467,0.008042066192390968,0.0009279307145066501,0.0003093102381688834,0.02381688833900402,0.016702752861119705,0.021651716671821836,0.016702752861119705,0.015156201670275286,0.0,0.0,0.0,0.0009279307145066501,0.0037117228580266005,0.0006186204763377668,0.006495515001546551,0.009897927621404269,0.01639344262295082,0.0037117228580266005,0.0037117228580266005,0.041447571914630374,0.008969996906897619,0.02381688833900402,0,0.005876894525208784,0.0003093102381688834,0.0003093102381688834,0,0,0.0003093102381688834,0.0,0.001546551190844417,0.006804825239715435,0.0,0.0,0.0,0.0,0.0,0.0034024126198577173,0.0021651716671821837,0.07114135477884317,0.012991030003093103,0.0046396535725332505,0.08413238478193628
H,Li,0.015774822146613052,0.015774822146613052,0.0012372409526755336,0.0024744819053510673,0.0006186204763377668,0.0,0.015774822146613052,0.0012372409526755336,0.005876894525208784,0.0018558614290133002,0.007732755954222085,0.012063099288586452,0.0027837921435199505,0.0003093102381688834,0.0003093102381688834,0.0018558614290133002,0.0024744819053510673,0.0,0.0018558614290133002,0.0,0.0,0.0012372409526755336,0.0034024126198577173,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0003093102381688834,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006186204763377668,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834
H,Be,0.020414475719146303,0.0012372409526755336,0.020414475719146303,0.0009279307145066501,0.0003093102381688834,0.0,0.020414475719146303,0.0003093102381688834,0.004021033096195484,0.0012372409526755336,0.0024744819053510673,0.009588617383235385,0.008351376430559852,0.0,0.0,0.0012372409526755336,0.010516548097742036,0.0,0.0,0.0,0.0,0.0027837921435199505,0.0027837921435199505,0.0,0.0,0.0,0.0009279307145066501,0.0,0.0,0.0009279307145066501,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0009279307145066501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006186204763377668,0.0,0.0,0.0,0.0003093102381688834,0.0009279307145066501,0.0,0.0006186204763377668,0,0.0003093102381688834,0.0,0.0,0,0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0
H,B,0.059696875966594495,0.0024744819053510673,0.0009279307145066501,0.059696875966594495,0.004021033096195484,0.0009279307145066501,0.05938756572842561,0.003093102381688834,0.01546551190844417,0.017012063099288585,0.016084132384781936,0.022579647386328488,0.0009279307145066501,0.0024744819053510673,0.007423445716053201,0.0027837921435199505,0.027528611197030622,0.0,0.0009279307145066501,0.0009279307145066501,0.0012372409526755336,0.0046396535725332505,0.005567584287039901,0.0,0.0,0.0012372409526755336,0.0,0.0,0.0,0.0006186204763377668,0.0,0.0,0.0003093102381688834,0.0027837921435199505,0.0006186204763377668,0.0006186204763377668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0003093102381688834,0.0012372409526755336,0.0,0.001546551190844417,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001546551190844417,0.0,0.0003093102381688834,0.0
H,C,0.1023816888339004,0.0006186204763377668,0.0003093102381688834,0.004021033096195484,0.1023816888339004,0.007114135477884318,0.09805134549953604,0.0037117228580266005,0.02010516548097742,0.017012063099288585,0.01546551190844417,0.014228270955768636,0.005258274048871018,0.009279307145066501,0.005876894525208784,0.0034024126198577173,0.030003093102381688,0.0,0.0006186204763377668,0.0018558614290133002,0.001546551190844417,0.005258274048871018,0.006804825239715435,0.0012372409526755336,0.0037117228580266005,0.011135168574079802,0.0046396535725332505,0.0,0.0003093102381688834,0.0012372409526755336,0.0,0.0,0.0,0.0037117228580266005,0.008351376430559852,0.0027837921435199505,0.0012372409526755336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006186204763377668,0.0,0.0,0.0037117228580266005,0.0021651716671821837,0.0049489638107021346,0,0.0024744819053510673,0.0,0.0003093102381688834,0,0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0009279307145066501,0.0,0.008660686668728735,0.0,0.0006186204763377668,0.012681719764924219
H,N,0.039591710485617077,0.0,0.0,0.0009279307145066501,0.007114135477884318,0.039591710485617077,0.03649860810392824,0.001546551190844417,0.007114135477884318,0.004021033096195484,0.006804825239715435,0.003093102381688834,0.005567584287039901,0.014846891432106402,0.007114135477884318,0.0018558614290133002,0.0024744819053510673,0.0,0.0,0.0024744819053510673,0.0,0.0006186204763377668,0.005567584287039901,0.0003093102381688834,0.0012372409526755336,0.003093102381688834,0.0003093102381688834,0.0,0.0,0.001546551190844417,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012372409526755336,0.0,0.0009279307145066501,0.0006186204763377668,0.0,0.0037117228580266005
H,O,0.9925765542839468,0.015774822146613052,0.020414475719146303,0.05938756572842561,0.09805134549953604,0.03649860810392824,0.9925765542839468,0.04268481286730591,0.19857717290442314,0.14630374265388185,0.2527064645839777,0.3158057531704299,0.1620785648004949,0.16517166718218373,0.06340859882462109,0.08846272811630065,0.28394679863903494,0.0024744819053510673,0.04484998453448809,0.05567584287039901,0.012372409526755336,0.12588926693473554,0.2047633776678008,0.010825858335910918,0.019486545004639654,0.11073306526446025,0.06495515001546551,0.0012372409526755336,0.003093102381688834,0.1227961645530467,0.008042066192390968,0.0009279307145066501,0.0003093102381688834,0.02381688833900402,0.016702752861119705,0.021651716671821836,0.016702752861119705,0.015156201670275286,0.0,0.0,0.0,0.0009279307145066501,0.0037117228580266005,0.0006186204763377668,0.006186204763377668,0.009897927621404269,0.01639344262295082,0.0037117228580266005,0.0037117228580266005,0.041447571914630374,0.008969996906897619,0.02381688833900402,0,0.005876894525208784,0.0003093102381688834,0.0003093102381688834,0,0,0.0003093102381688834,0.0,0.001546551190844417,0.006804825239715435,0.0,0.0,0.0,0.0,0.0,0.003093102381688834,0.0021651716671821837,0.0708320445406743,0.012681719764924219,0.0046396535725332505,0.08413238478193628
H,F,0.04361274358181256,0.0012372409526755336,0.0003093102381688834,0.003093102381688834,0.0037117228580266005,0.001546551190844417,0.04268481286730591,0.04361274358181256,0.016702752861119705,0.006804825239715435,0.02443550881534179,0.017939993813795237,0.009279307145066501,0.007423445716053201,0.0024744819053510673,0.004330343334364367,0.017939993813795237,0.0,0.005567584287039901,0.0006186204763377668,0.0006186204763377668,0.004330343334364367,0.0046396535725332505,0.0,0.0,0.0018558614290133002,0.0003093102381688834,0.0,0.0,0.0009279307145066501,0.0,0.0003093102381688834,0.0,0.0018558614290133002,0.001546551190844417,0.0009279307145066501,0.0012372409526755336,0.0,0.0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0006186204763377668,0.0049489638107021346,0.0,0.0024744819053510673,0,0.0003093102381688834,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018558614290133002,0.0,0.0006186204763377668,0.0024744819053510673
H,Na,0.19857717290442314,0.005876894525208784,0.004021033096195484,0.01546551190844417,0.02010516548097742,0.007114135477884318,0.19857717290442314,0.016702752861119705,0.19857717290442314,0.03278688524590164,0.056294463346736774,0.10980513454995361,0.027528611197030622,0.031549644293226105,0.011753789050417568,0.025054129291679553,0.05753170429941231,0.0003093102381688834,0.025054129291679553,0.008660686668728735,0.0021651716671821837,0.025054129291679553,0.03990102072378596,0.0009279307145066501,0.0006186204763377668,0.0049489638107021346,0.0034024126198577173,0.0,0.0,0.011135168574079802,0.0006186204763377668,0.0,0.0,0.007114135477884318,0.005567584287039901,0.017012063099288585,0.008042066192390968,0.0018558614290133002,0.0,0.0,0.0,0.0,0.0,0.0,0.0006186204763377668,0.0012372409526755336,0.0,0.0009279307145066501,0.0012372409526755336,0.012991030003093103,0.0009279307145066501,0.005258274048871018,0,0.0003093102381688834,0.0,0.0,0,0,0.0,0.0,0.0,0.001546551190844417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009279307145066501,0.0003093102381688834,0.0006186204763377668,0.010207237859573151
H,Mg,0.14630374265388185,0.0018558614290133002,0.0012372409526755336,0.017012063099288585,0.017012063099288585,0.004021033096195484,0.14630374265388185,0.006804825239715435,0.03278688524590164,0.14630374265388185,0.045468605010825856,0.049798948345190226,0.02660068048252397,0.018867924528301886,0.008660686668728735,0.01546551190844417,0.040519641200123725,0.0009279307145066501,0.0034024126198577173,0.007423445716053201,0.0034024126198577173,0.012991030003093103,0.024126198577172905,0.0,0.0006186204763377668,0.0049489638107021346,0.0049489638107021346,0.0,0.0,0.012372409526755336,0.0003093102381688834,0.0,0.0,0.0012372409526755336,0.0003093102381688834,0.0006186204763377668,0.0012372409526755336,0.0012372409526755336,0.0,0.0,0.0,0.0,0.0,0.0,0.0006186204763377668,0.0006186204763377668,0.0027837921435199505,0.0009279307145066501,0.0,0.0034024126198577173,0.0003093102381688834,0.003093102381688834,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0003093102381688834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021651716671821837,0.0003093102381688834,0.0,0.007423445716053201
